cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,current_zscore,projected_zscore,projected_hi,projected_lo,category,indicator,timestamp,simulations
2020,President,polls-plus,9/14/2020,Trump,Biden,"",-3.260423,-2.669574,-2.002638,-3.336511,jobs,Nonfarm payrolls,23:33:03 14 Sep 2020,40000
2020,President,polls-plus,9/14/2020,Trump,Biden,"",.6458718,.7161678,1.383105,.0492309,inflation,Consumer price index,23:33:03 14 Sep 2020,40000
2020,President,polls-plus,9/14/2020,Trump,Biden,"",2.891383,2.733798,3.400735,2.066861,income,Real disposable personal income,23:33:03 14 Sep 2020,40000
2020,President,polls-plus,9/14/2020,Trump,Biden,"",-.4852988,-.2389892,.2326064,-.7105849,combined,Average of all six indicators,23:33:03 14 Sep 2020,40000
2020,President,polls-plus,9/13/2020,Trump,Biden,"",.7613009,.6637105,1.335983,-.0085623,stock market,S&P 500,19:00:03 13 Sep 2020,40000
2020,President,polls-plus,9/13/2020,Trump,Biden,"",-1.979027,-1.363924,-.6916515,-2.036197,spending,Personal consumption expenditures,19:00:03 13 Sep 2020,40000
2020,President,polls-plus,9/13/2020,Trump,Biden,"",-2.057216,-1.602451,-.9301785,-2.274724,manufacturing,Industrial production,19:00:03 13 Sep 2020,40000
2020,President,polls-plus,9/13/2020,Trump,Biden,"",-3.260423,-2.664512,-1.99224,-3.336785,jobs,Nonfarm payrolls,19:00:03 13 Sep 2020,40000
2020,President,polls-plus,9/13/2020,Trump,Biden,"",.6458718,.7176017,1.389874,.0453289,inflation,Consumer price index,19:00:03 13 Sep 2020,40000
2020,President,polls-plus,9/13/2020,Trump,Biden,"",2.891383,2.728559,3.400832,2.056287,income,Real disposable personal income,19:00:03 13 Sep 2020,40000
2020,President,polls-plus,9/13/2020,Trump,Biden,"",-.499685,-.2535028,.2218659,-.7288714,combined,Average of all six indicators,19:00:03 13 Sep 2020,40000
2020,President,polls-plus,9/12/2020,Trump,Biden,"",.7613009,.6616845,1.33936,-.0159914,stock market,S&P 500,19:00:04 12 Sep 2020,40000
2020,President,polls-plus,9/12/2020,Trump,Biden,"",-1.979027,-1.352125,-.6744494,-2.029801,spending,Personal consumption expenditures,19:00:04 12 Sep 2020,40000
2020,President,polls-plus,9/12/2020,Trump,Biden,"",-2.057216,-1.59357,-.9158938,-2.271246,manufacturing,Industrial production,19:00:04 12 Sep 2020,40000
2020,President,polls-plus,9/12/2020,Trump,Biden,"",-3.260423,-2.652668,-1.974992,-3.330344,jobs,Nonfarm payrolls,19:00:04 12 Sep 2020,40000
2020,President,polls-plus,9/12/2020,Trump,Biden,"",.6458718,.7190356,1.396711,.0413596,inflation,Consumer price index,19:00:04 12 Sep 2020,40000
2020,President,polls-plus,9/12/2020,Trump,Biden,"",2.891383,2.724808,3.402483,2.047132,income,Real disposable personal income,19:00:04 12 Sep 2020,40000
